,full_name,link,phone
57,Galaxy Tab J,http://www.gsmarena.com/samsung_galaxy_tab_j-8227.php,Samsung
58,Galaxy J Max,http://www.gsmarena.com/samsung_galaxy_j_max-8186.php,Samsung
59,Galaxy J2 Pro (2016),http://www.gsmarena.com/samsung_galaxy_j2_pro_(2016)-8228.php,Samsung
60,Galaxy J2 (2016),http://www.gsmarena.com/samsung_galaxy_j2_(2016)-8083.php,Samsung
61,Z3 Corporate Edition,http://www.gsmarena.com/samsung_z3_corporate_edition-8170.php,Samsung
62,Galaxy Xcover 3 G389F,http://www.gsmarena.com/samsung_galaxy_xcover_3_g389f-8455.php,Samsung
63,Galaxy S7 active,http://www.gsmarena.com/samsung_galaxy_s7_active-8004.php,Samsung
64,Galaxy J3 Pro,http://www.gsmarena.com/samsung_galaxy_j3_pro-8126.php,Samsung
65,Galaxy C7,http://www.gsmarena.com/samsung_galaxy_c7-8046.php,Samsung
66,Galaxy C5,http://www.gsmarena.com/samsung_galaxy_c5-8047.php,Samsung
67,Galaxy A9 Pro (2016),http://www.gsmarena.com/samsung_galaxy_a9_pro_(2016)-7903.php,Samsung
68,Galaxy J7 (2016),http://www.gsmarena.com/samsung_galaxy_j7_(2016)-7870.php,Samsung
69,Galaxy J5 (2016),http://www.gsmarena.com/samsung_galaxy_j5_(2016)-7869.php,Samsung
70,Galaxy Tab A 10.1 (2016),http://www.gsmarena.com/samsung_galaxy_tab_a_10_1_(2016)-8090.php,Samsung
71,Galaxy Tab A 7.0 (2016),http://www.gsmarena.com/samsung_galaxy_tab_a_7_0_(2016)-7880.php,Samsung
72,Galaxy S7,http://www.gsmarena.com/samsung_galaxy_s7-7821.php,Samsung
73,Galaxy S7 edge,http://www.gsmarena.com/samsung_galaxy_s7_edge-7945.php,Samsung
74,Galaxy S7 edge (USA),http://www.gsmarena.com/samsung_galaxy_s7_edge_(usa)-7961.php,Samsung
75,Galaxy S7 (USA),http://www.gsmarena.com/samsung_galaxy_s7_(usa)-7960.php,Samsung
76,Galaxy J1 Nxt,http://www.gsmarena.com/samsung_galaxy_j1_nxt-7768.php,Samsung
77,Gear S2 classic 3G,http://www.gsmarena.com/samsung_gear_s2_classic_3g-7934.php,Samsung
78,Galaxy Tab E 8.0,http://www.gsmarena.com/samsung_galaxy_tab_e_8_0-7879.php,Samsung
79,Galaxy J1 (2016),http://www.gsmarena.com/samsung_galaxy_j1_(2016)-7864.php,Samsung
80,Galaxy A9 (2016),http://www.gsmarena.com/samsung_galaxy_a9_(2016)-7641.php,Samsung
81,Galaxy A7 (2016),http://www.gsmarena.com/samsung_galaxy_a7_(2016)-7759.php,Samsung
82,Galaxy A5 (2016),http://www.gsmarena.com/samsung_galaxy_a5_(2016)-7789.php,Samsung
83,Galaxy A3 (2016),http://www.gsmarena.com/samsung_galaxy_a3_(2016)-7791.php,Samsung
84,Galaxy Express Prime,http://www.gsmarena.com/samsung_galaxy_express_prime-8022.php,Samsung
85,iPad 9.7 (2018),http://www.gsmarena.com/apple_ipad_9_7_(2018)-9142.php,Apple
86,iPhone X,http://www.gsmarena.com/apple_iphone_x-8858.php,Apple
87,iPhone 8 Plus,http://www.gsmarena.com/apple_iphone_8_plus-8131.php,Apple
88,iPhone 8,http://www.gsmarena.com/apple_iphone_8-8573.php,Apple
89,Watch Edition Series 3,http://www.gsmarena.com/apple_watch_edition_series_3-8861.php,Apple
90,Watch Series 3,http://www.gsmarena.com/apple_watch_series_3-8860.php,Apple
91,Watch Series 3 Aluminum,http://www.gsmarena.com/apple_watch_series_3_aluminum-8859.php,Apple
92,iPad Pro 12.9 (2017),http://www.gsmarena.com/apple_ipad_pro_12_9_(2017)-8717.php,Apple
93,iPad Pro 10.5 (2017),http://www.gsmarena.com/apple_ipad_pro_10_5_(2017)-8716.php,Apple
94,iPad 9.7 (2017),http://www.gsmarena.com/apple_ipad_9_7_(2017)-8620.php,Apple
95,Watch Edition Series 2 42mm,http://www.gsmarena.com/apple_watch_edition_series_2_42mm-8331.php,Apple
96,Watch Series 2 42mm,http://www.gsmarena.com/apple_watch_series_2_42mm-8329.php,Apple
97,Watch Edition Series 2 38mm,http://www.gsmarena.com/apple_watch_edition_series_2_38mm-8332.php,Apple
98,Watch Series 2 38mm,http://www.gsmarena.com/apple_watch_series_2_38mm-8330.php,Apple
99,Watch Series 2 Aluminum 42mm,http://www.gsmarena.com/apple_watch_series_2_aluminum_42mm-8328.php,Apple
100,Watch Series 1 Aluminum 42mm,http://www.gsmarena.com/apple_watch_series_1_aluminum_42mm-8334.php,Apple
101,Watch Series 2 Aluminum 38mm,http://www.gsmarena.com/apple_watch_series_2_aluminum_38mm-8327.php,Apple
102,Watch Series 1 Aluminum 38mm,http://www.gsmarena.com/apple_watch_series_1_aluminum_38mm-8333.php,Apple
103,iPhone 7 Plus,http://www.gsmarena.com/apple_iphone_7_plus-8065.php,Apple
104,iPhone 7,http://www.gsmarena.com/apple_iphone_7-8064.php,Apple
105,iPad Pro 9.7 (2016),http://www.gsmarena.com/apple_ipad_pro_9_7_(2016)-7984.php,Apple
106,iPhone SE,http://www.gsmarena.com/apple_iphone_se-7969.php,Apple
107,iPhone 6s Plus,http://www.gsmarena.com/apple_iphone_6s_plus-7243.php,Apple
108,iPhone 6s,http://www.gsmarena.com/apple_iphone_6s-7242.php,Apple
109,iPad Pro 12.9 (2015),http://www.gsmarena.com/apple_ipad_pro_12_9_(2015)-7562.php,Apple
110,iPad mini 4,http://www.gsmarena.com/apple_ipad_mini_4-7561.php,Apple
111,Watch Edition 42mm (1st gen),http://www.gsmarena.com/apple_watch_edition_42mm_(1st_gen)-7698.php,Apple
112,Watch Edition 38mm (1st gen),http://www.gsmarena.com/apple_watch_edition_38mm_(1st_gen)-7697.php,Apple
113,Watch 42mm (1st gen),http://www.gsmarena.com/apple_watch_42mm_(1st_gen)-7696.php,Apple
114,Watch 38mm (1st gen),http://www.gsmarena.com/apple_watch_38mm_(1st_gen)-7695.php,Apple
115,Watch Sport 42mm (1st gen),http://www.gsmarena.com/apple_watch_sport_42mm_(1st_gen)-7694.php,Apple
116,Watch Sport 38mm (1st gen),http://www.gsmarena.com/apple_watch_sport_38mm_(1st_gen)-7693.php,Apple
117,iPad Air 2,http://www.gsmarena.com/apple_ipad_air_2-6742.php,Apple
118,iPad mini 3,http://www.gsmarena.com/apple_ipad_mini_3-6741.php,Apple
119,iPhone 6 Plus,http://www.gsmarena.com/apple_iphone_6_plus-6665.php,Apple
120,iPhone 6,http://www.gsmarena.com/apple_iphone_6-6378.php,Apple
121,iPad Air,http://www.gsmarena.com/apple_ipad_air-5797.php,Apple
122,iPad mini 2,http://www.gsmarena.com/apple_ipad_mini_2-5735.php,Apple
123,iPhone 5s,http://www.gsmarena.com/apple_iphone_5s-5685.php,Apple
124,iPhone 5c,http://www.gsmarena.com/apple_iphone_5c-5690.php,Apple
125,X6,http://www.gsmarena.com/nokia_x6-9178.php,Nokia
126,8110 4G,http://www.gsmarena.com/nokia_8110_4g-9089.php,Nokia
127,8 Sirocco,http://www.gsmarena.com/nokia_8_sirocco-9087.php,Nokia
128,7 plus,http://www.gsmarena.com/nokia_7_plus-9058.php,Nokia
129,6 (2018),http://www.gsmarena.com/nokia_6_(2018)-8972.php,Nokia
130,1,http://www.gsmarena.com/nokia_1-9052.php,Nokia
131,3310 4G,http://www.gsmarena.com/nokia_3310_4g-9046.php,Nokia
132,2,http://www.gsmarena.com/nokia_2-8513.php,Nokia
133,7,http://www.gsmarena.com/nokia_7-8907.php,Nokia
134,3310 3G,http://www.gsmarena.com/nokia_3310_3g-8876.php,Nokia
135,8,http://www.gsmarena.com/nokia_8-8522.php,Nokia
136,105 (2017),http://www.gsmarena.com/nokia_105_(2017)-8770.php,Nokia
137,130 (2017),http://www.gsmarena.com/nokia_130_(2017)-8769.php,Nokia
138,3,http://www.gsmarena.com/nokia_3-8572.php,Nokia
139,5,http://www.gsmarena.com/nokia_5-8571.php,Nokia
140,6,http://www.gsmarena.com/nokia_6-6885.php,Nokia
141,3310 (2017),http://www.gsmarena.com/nokia_3310_(2017)-8597.php,Nokia
142,150,http://www.gsmarena.com/nokia_150-8475.php,Nokia
143,216,http://www.gsmarena.com/nokia_216-8343.php,Nokia
144,230 Dual SIM,http://www.gsmarena.com/nokia_230_dual_sim-7772.php,Nokia
145,230,http://www.gsmarena.com/nokia_230-7771.php,Nokia
146,222 Dual SIM,http://www.gsmarena.com/nokia_222_dual_sim-7517.php,Nokia
147,222,http://www.gsmarena.com/nokia_222-7516.php,Nokia
148,105 Dual SIM (2015),http://www.gsmarena.com/nokia_105_dual_sim_(2015)-7272.php,Nokia
149,105 (2015),http://www.gsmarena.com/nokia_105_(2015)-7271.php,Nokia
150,215,http://www.gsmarena.com/nokia_215-6910.php,Nokia
151,215 Dual SIM,http://www.gsmarena.com/nokia_215_dual_sim-6911.php,Nokia
152,Lumia 638,http://www.gsmarena.com/nokia_lumia_638-6877.php,Nokia
153,N1,http://www.gsmarena.com/nokia_n1-6814.php,Nokia
154,Lumia 730 Dual SIM,http://www.gsmarena.com/nokia_lumia_730_dual_sim-6640.php,Nokia
155,Lumia 735,http://www.gsmarena.com/nokia_lumia_735-6639.php,Nokia
156,Lumia 830,http://www.gsmarena.com/nokia_lumia_830-6638.php,Nokia
157,130 Dual SIM,http://www.gsmarena.com/nokia_130_dual_sim-6571.php,Nokia
158,130,http://www.gsmarena.com/nokia_130-6570.php,Nokia
159,Lumia 530 Dual SIM,http://www.gsmarena.com/nokia_lumia_530_dual_sim-6524.php,Nokia
160,Lumia 530,http://www.gsmarena.com/nokia_lumia_530-6523.php,Nokia
161,X2 Dual SIM,http://www.gsmarena.com/nokia_x2_dual_sim-6383.php,Nokia
162,225,http://www.gsmarena.com/nokia_225-6288.php,Nokia
163,225 Dual SIM,http://www.gsmarena.com/nokia_225_dual_sim-6287.php,Nokia
164,Lumia 930,http://www.gsmarena.com/nokia_lumia_930-6227.php,Nokia
165,Lumia 635,http://www.gsmarena.com/nokia_lumia_635-6254.php,Nokia
166,Lumia 630 Dual SIM,http://www.gsmarena.com/nokia_lumia_630_dual_sim-6255.php,Nokia
167,Lumia 630,http://www.gsmarena.com/nokia_lumia_630-6232.php,Nokia
168,XL,http://www.gsmarena.com/nokia_xl-6148.php,Nokia
169,X+,http://www.gsmarena.com/nokia_x+-6147.php,Nokia
170,X,http://www.gsmarena.com/nokia_x-6067.php,Nokia
171,Asha 230,http://www.gsmarena.com/nokia_asha_230-6149.php,Nokia
172,220,http://www.gsmarena.com/nokia_220-6150.php,Nokia
173,Lumia Icon,http://www.gsmarena.com/nokia_lumia_icon-5833.php,Nokia
174,Lumia 525,http://www.gsmarena.com/nokia_lumia_525-5869.php,Nokia
175,Lumia 1520,http://www.gsmarena.com/nokia_lumia_1520-5760.php,Nokia
176,Lumia 1320,http://www.gsmarena.com/nokia_lumia_1320-5791.php,Nokia
177,Lumia 2520,http://www.gsmarena.com/nokia_lumia_2520-5702.php,Nokia
178,Asha 503 Dual SIM,http://www.gsmarena.com/nokia_asha_503_dual_sim-5796.php,Nokia
179,Asha 503,http://www.gsmarena.com/nokia_asha_503-5794.php,Nokia
180,Asha 502 Dual SIM,http://www.gsmarena.com/nokia_asha_502_dual_sim-5795.php,Nokia
181,Asha 500 Dual SIM,http://www.gsmarena.com/nokia_asha_500_dual_sim-5793.php,Nokia
182,Asha 500,http://www.gsmarena.com/nokia_asha_500-5792.php,Nokia
183,108 Dual SIM,http://www.gsmarena.com/nokia_108_dual_sim-5703.php,Nokia
184,515,http://www.gsmarena.com/nokia_515-5663.php,Nokia
185,107 Dual SIM,http://www.gsmarena.com/nokia_107_dual_sim-5636.php,Nokia
186,106,http://www.gsmarena.com/nokia_106-5635.php,Nokia
187,Lumia 625,http://www.gsmarena.com/nokia_lumia_625-5438.php,Nokia
188,Lumia 1020,http://www.gsmarena.com/nokia_lumia_1020-5506.php,Nokia
189,208,http://www.gsmarena.com/nokia_208-5560.php,Nokia
190,Xperia XZ2 Premium,http://www.gsmarena.com/sony_xperia_xz2_premium-9166.php,Sony
191,Xperia XZ2,http://www.gsmarena.com/sony_xperia_xz2-9081.php,Sony
192,Xperia XZ2 Compact,http://www.gsmarena.com/sony_xperia_xz2_compact-9082.php,Sony
193,Xperia XA2 Ultra,http://www.gsmarena.com/sony_xperia_xa2_ultra-8985.php,Sony
194,Xperia XA2,http://www.gsmarena.com/sony_xperia_xa2-8986.php,Sony
195,Xperia L2,http://www.gsmarena.com/sony_xperia_l2-8987.php,Sony
196,Xperia R1 (Plus),http://www.gsmarena.com/sony_xperia_r1_(plus)-8922.php,Sony
197,Xperia XZ1,http://www.gsmarena.com/sony_xperia_xz1-8804.php,Sony
198,Xperia XA1 Plus,http://www.gsmarena.com/sony_xperia_xa1_plus-8840.php,Sony
199,Xperia XZ1 Compact,http://www.gsmarena.com/sony_xperia_xz1_compact-8610.php,Sony
200,Xperia L1,http://www.gsmarena.com/sony_xperia_l1-8619.php,Sony
201,Xperia XZs,http://www.gsmarena.com/sony_xperia_xzs-8599.php,Sony
202,Xperia XZ Premium,http://www.gsmarena.com/sony_xperia_xz_premium-8593.php,Sony
203,Xperia XA1 Ultra,http://www.gsmarena.com/sony_xperia_xa1_ultra-8595.php,Sony
204,Xperia XA1,http://www.gsmarena.com/sony_xperia_xa1-8596.php,Sony
205,Xperia X Compact,http://www.gsmarena.com/sony_xperia_x_compact-8292.php,Sony
206,Xperia XZ,http://www.gsmarena.com/sony_xperia_xz-8313.php,Sony
207,Xperia E5,http://www.gsmarena.com/sony_xperia_e5-8113.php,Sony
208,Xperia XA Ultra,http://www.gsmarena.com/sony_xperia_xa_ultra-8102.php,Sony
209,Xperia X Performance,http://www.gsmarena.com/sony_xperia_x_performance-7949.php,Sony
210,Xperia X,http://www.gsmarena.com/sony_xperia_x-7948.php,Sony
211,Xperia XA Dual,http://www.gsmarena.com/sony_xperia_xa_dual-7957.php,Sony
212,Xperia XA,http://www.gsmarena.com/sony_xperia_xa-7950.php,Sony
213,Xperia Z5 Premium Dual,http://www.gsmarena.com/sony_xperia_z5_premium_dual-7538.php,Sony
214,Xperia Z5 Premium,http://www.gsmarena.com/sony_xperia_z5_premium-7536.php,Sony
215,Xperia Z5 Dual,http://www.gsmarena.com/sony_xperia_z5_dual-7537.php,Sony
216,Xperia Z5,http://www.gsmarena.com/sony_xperia_z5-7534.php,Sony
217,Xperia Z5 Compact,http://www.gsmarena.com/sony_xperia_z5_compact-7535.php,Sony
218,Xperia M5 Dual,http://www.gsmarena.com/sony_xperia_m5_dual-7465.php,Sony
219,Xperia M5,http://www.gsmarena.com/sony_xperia_m5-7464.php,Sony
220,Q7,http://www.gsmarena.com/lg_q7-9206.php,LG
221,G7 ThinQ,http://www.gsmarena.com/lg_g7_thinq-9115.php,LG
222,V30S ThinQ,http://www.gsmarena.com/lg_v30s_thinq-9090.php,LG
223,Zone 4,http://www.gsmarena.com/lg_zone_4-9122.php,LG
224,K30,http://www.gsmarena.com/lg_k30-9190.php,LG
225,K10 (2018),http://www.gsmarena.com/lg_k10_(2018)-9074.php,LG
226,K8 (2018),http://www.gsmarena.com/lg_k8_(2018)-9073.php,LG
227,Aristo 2,http://www.gsmarena.com/lg_aristo_2-9047.php,LG
228,X4+,http://www.gsmarena.com/lg_x4+-9006.php,LG
229,V30,http://www.gsmarena.com/lg_v30-8712.php,LG
230,Q8,http://www.gsmarena.com/lg_q8-8781.php,LG
231,Q6,http://www.gsmarena.com/lg_q6-8756.php,LG
232,G Pad IV 8.0 FHD,http://www.gsmarena.com/lg_g_pad_iv_8_0_fhd-8780.php,LG
233,X venture,http://www.gsmarena.com/lg_x_venture-8696.php,LG
234,G6,http://www.gsmarena.com/lg_g6-8466.php,LG
235,X power2,http://www.gsmarena.com/lg_x_power2-8584.php,LG
236,Watch Sport,http://www.gsmarena.com/lg_watch_sport-8552.php,LG
237,Watch Style,http://www.gsmarena.com/lg_watch_style-8551.php,LG
238,Stylo 3 Plus,http://www.gsmarena.com/lg_stylo_3_plus-8694.php,LG
239,Stylus 3,http://www.gsmarena.com/lg_stylus_3-8492.php,LG
240,Harmony,http://www.gsmarena.com/lg_harmony-8679.php,LG
241,K20 plus,http://www.gsmarena.com/lg_k20_plus-8678.php,LG
242,K10 (2017),http://www.gsmarena.com/lg_k10_(2017)-8491.php,LG
243,K8 (2017),http://www.gsmarena.com/lg_k8_(2017)-8490.php,LG
244,K7 (2017),http://www.gsmarena.com/lg_k7_(2017)-8817.php,LG
245,K4 (2017),http://www.gsmarena.com/lg_k4_(2017)-8489.php,LG
246,K3 (2017),http://www.gsmarena.com/lg_k3_(2017)-8488.php,LG
247,G Pad III 10.1 FHD,http://www.gsmarena.com/lg_g_pad_iii_10_1_fhd-8484.php,LG
248,U,http://www.gsmarena.com/lg_u-8403.php,LG
249,V20,http://www.gsmarena.com/lg_v20-8238.php,LG
250,X Skin,http://www.gsmarena.com/lg_x_skin-8184.php,LG
251,X5,http://www.gsmarena.com/lg_x5-8183.php,LG
252,X max,http://www.gsmarena.com/lg_x_max-8159.php,LG
253,X mach,http://www.gsmarena.com/lg_x_mach-8158.php,LG
254,G Pad III 8.0 FHD,http://www.gsmarena.com/lg_g_pad_iii_8_0_fhd-8463.php,LG
255,G Pad X 8.0,http://www.gsmarena.com/lg_g_pad_x_8_0-8081.php,LG
256,X power,http://www.gsmarena.com/lg_x_power-8133.php,LG
257,X style,http://www.gsmarena.com/lg_x_style-8132.php,LG
258,Stylus 2 Plus,http://www.gsmarena.com/lg_stylus_2_plus-8079.php,LG
259,Stylo 2,http://www.gsmarena.com/lg_stylo_2-8085.php,LG
260,K5,http://www.gsmarena.com/lg_k5-7980.php,LG
261,K3,http://www.gsmarena.com/lg_k3-8269.php,LG
262,G5 SE,http://www.gsmarena.com/lg_g5_se-8056.php,LG
263,G5,http://www.gsmarena.com/lg_g5-7815.php,LG
264,X cam,http://www.gsmarena.com/lg_x_cam-7977.php,LG
265,X screen,http://www.gsmarena.com/lg_x_screen-7976.php,LG
266,K8,http://www.gsmarena.com/lg_k8-7927.php,LG
267,Stylus 2,http://www.gsmarena.com/lg_stylus_2-7926.php,LG
268,K10,http://www.gsmarena.com/lg_k10-7849.php,LG
269,K7,http://www.gsmarena.com/lg_k7-7848.php,LG
270,K4,http://www.gsmarena.com/lg_k4-7883.php,LG
271,G Pad II 8.3 LTE,http://www.gsmarena.com/lg_g_pad_ii_8_3_lte-7828.php,LG
272,Ray,http://www.gsmarena.com/lg_ray-7773.php,LG
273,G Vista 2,http://www.gsmarena.com/lg_g_vista_2-7675.php,LG
274,G Watch R W110,http://www.gsmarena.com/lg_g_watch_r_w110-7681.php,LG
275,Watch Urbane W150,http://www.gsmarena.com/lg_watch_urbane_w150-7680.php,LG
276,Watch Urbane 2nd Edition LTE,http://www.gsmarena.com/lg_watch_urbane_2nd_edition_lte-7607.php,LG
277,V10,http://www.gsmarena.com/lg_v10-7606.php,LG
278,Nexus 5X,http://www.gsmarena.com/lg_nexus_5x-7556.php,LG
279,Zero,http://www.gsmarena.com/lg_zero-7575.php,LG
280,U12+,http://www.gsmarena.com/htc_u12+-9119.php,HTC
281,Desire 12+,http://www.gsmarena.com/htc_desire_12+-9102.php,HTC
282,Desire 12,http://www.gsmarena.com/htc_desire_12-9071.php,HTC
283,U11 Eyes,http://www.gsmarena.com/htc_u11_eyes-8990.php,HTC
284,U11+,http://www.gsmarena.com/htc_u11+-8908.php,HTC
285,U11 Life,http://www.gsmarena.com/htc_u11_life-8885.php,HTC
286,U11,http://www.gsmarena.com/htc_u11-8630.php,HTC
287,One X10,http://www.gsmarena.com/htc_one_x10-8487.php,HTC
288,U Ultra,http://www.gsmarena.com/htc_u_ultra-8519.php,HTC
289,U Play,http://www.gsmarena.com/htc_u_play-8518.php,HTC
290,10 evo,http://www.gsmarena.com/htc_10_evo-8404.php,HTC
291,Desire 650,http://www.gsmarena.com/htc_desire_650-8444.php,HTC
292,Desire 10 Pro,http://www.gsmarena.com/htc_desire_10_pro-8277.php,HTC
293,Desire 10 Compact,http://www.gsmarena.com/htc_desire_10_compact-8884.php,HTC
294,Desire 10 Lifestyle,http://www.gsmarena.com/htc_desire_10_lifestyle-8276.php,HTC
295,One A9s,http://www.gsmarena.com/htc_one_a9s-8297.php,HTC
296,Desire 728 Ultra,http://www.gsmarena.com/htc_desire_728_ultra-8633.php,HTC
297,Desire 628,http://www.gsmarena.com/htc_desire_628-8128.php,HTC
298,One M9 Prime Camera,http://www.gsmarena.com/htc_one_m9_prime_camera-8086.php,HTC
299,Desire 830,http://www.gsmarena.com/htc_desire_830-8066.php,HTC
300,One S9,http://www.gsmarena.com/htc_one_s9-8072.php,HTC
301,10 Lifestyle,http://www.gsmarena.com/htc_10_lifestyle-8031.php,HTC
302,10,http://www.gsmarena.com/htc_10-7884.php,HTC
303,Desire 825,http://www.gsmarena.com/htc_desire_825-7942.php,HTC
304,Desire 630,http://www.gsmarena.com/htc_desire_630-7941.php,HTC
305,Desire 530,http://www.gsmarena.com/htc_desire_530-7940.php,HTC
306,Desire 625,http://www.gsmarena.com/htc_desire_625-8348.php,HTC
307,One X9,http://www.gsmarena.com/htc_one_x9-7836.php,HTC
308,One M9s,http://www.gsmarena.com/htc_one_m9s-7758.php,HTC
309,Desire 828 dual sim,http://www.gsmarena.com/htc_desire_828_dual_sim-7731.php,HTC
310,Desire 728 dual sim,http://www.gsmarena.com/htc_desire_728_dual_sim-7753.php,HTC
311,One E9s dual sim,http://www.gsmarena.com/htc_one_e9s_dual_sim-7627.php,HTC
312,Butterfly 3,http://www.gsmarena.com/htc_butterfly_3-7592.php,HTC
313,One A9,http://www.gsmarena.com/htc_one_a9-7576.php,HTC
314,One M9+ Supreme Camera,http://www.gsmarena.com/htc_one_m9+_supreme_camera-7591.php,HTC
315,Desire 626 (USA),http://www.gsmarena.com/htc_desire_626_(usa)-7421.php,HTC
316,Desire 626s,http://www.gsmarena.com/htc_desire_626s-7418.php,HTC
